Year,Month,Day,Hour,Wind
2010,11,11,17,490.2179232
2010,11,11,18,398.7150575
2010,11,11,19,261.292761
2010,11,11,20,249.4209082
2010,11,11,21,795.6381373
2010,11,11,22,1274.432202
2010,11,11,23,1941.831929
2010,11,12,0,2207.380637
2010,11,12,1,2706.334452
2010,11,12,2,3009.738691
2010,11,12,3,2726.158206
2010,11,12,4,2529.376646
2010,11,12,5,2075.558271
2010,11,12,6,2237.284267
2010,11,12,7,2020.678952
2010,11,12,8,1469.645782
2010,11,12,9,1120.098115
2010,11,12,10,1099.826367
2010,11,12,11,1034.531176
2010,11,12,12,734.9348897
2010,11,12,13,357.3875698
2010,11,12,14,378.8913033
2010,11,12,15,289.4044125
2010,11,12,16,500.7457927
2010,11,12,17,856.0053889
2010,11,12,18,1006.643522
2010,11,12,19,686.5514895
2010,11,12,20,751.5106843
2010,11,12,21,504.6657442
2010,11,12,22,517.3215873
2010,11,12,23,359.4035448
2010,11,13,0,487.8659524
2010,11,13,1,577.8008376
2010,11,13,2,670.7596852
2010,11,13,3,593.0326488
2010,11,13,4,768.0864788
2010,11,13,5,891.172953
2010,11,13,6,647.6879712
2010,11,13,7,658.999831
2010,11,13,8,1007.091516
2010,11,13,9,1328.63953
2010,11,13,10,1301.759863
2010,11,13,11,1130.401988
2010,11,13,12,1330.879502
2010,11,13,13,1841.257176
2010,11,13,14,1838.793206
2010,11,13,15,1907.448355
2010,11,13,16,1802.281659
2010,11,13,17,1701.706906
2010,11,13,18,1628.123818
2010,11,13,19,1359.32715
2010,11,13,20,1280.928122
2010,11,13,21,1891.544552
2010,11,13,22,2006.791124
2010,11,13,23,1865.000881
2010,11,14,0,1923.352158
2010,11,14,1,1996.935246
2010,11,14,2,1935.672005
2010,11,14,3,2300.115488
2010,11,14,4,2330.243114
2010,11,14,5,2903.34001
2010,11,14,6,3054.090141
2010,11,14,7,3275.063402
2010,11,14,8,3335.990647
2010,11,14,9,3468.261007
2010,11,14,10,3649.922755
2010,11,14,11,3683.41034
2010,11,14,12,3643.986829
2010,11,14,13,3651.490736
2010,11,14,14,3612.291222
2010,11,14,15,3637.714907
2010,11,14,16,3622.259098
2010,11,14,17,3517.876392
2010,11,14,18,3418.981618
2010,11,14,19,3378.550119
2010,11,14,20,3354.134422
2010,11,14,21,3389.973978
2010,11,14,22,3464.78905
2010,11,14,23,3467.701014
2010,11,15,0,3490.324734
2010,11,15,1,3532.884206
2010,11,15,2,3571.859723
2010,11,15,3,3318.742861
2010,11,15,4,3296.791133
2010,11,15,5,3175.832632
2010,11,15,6,3072.681911
2010,11,15,7,2855.292606
2010,11,15,8,2712.94237
2010,11,15,9,2762.781753
2010,11,15,10,2768.045687
2010,11,15,11,2687.96668
2010,11,15,12,2688.078679
2010,11,15,13,2841.628775
2010,11,15,14,3080.745811
2010,11,15,15,3019.034576
2010,11,15,16,2946.011481
2010,11,15,17,3239.111848
2010,11,15,18,3021.610544
2010,11,15,19,2913.979878
2010,11,15,20,3161.048816
2010,11,15,21,3149.176963
2010,11,15,22,2327.555148
2010,11,15,23,2417.154037
2010,11,16,0,2010.263081
2010,11,16,1,1501.117392
2010,11,16,2,2203.348687
2010,11,16,3,2536.208561
2010,11,16,4,2780.589532
2010,11,16,5,3017.354597
2010,11,16,6,3121.625304
2010,11,16,7,3050.282189
2010,11,16,8,2968.299205
2010,11,16,9,3060.586061
2010,11,16,10,3255.351647
2010,11,16,11,3340.806587
2010,11,16,12,3233.959912
2010,11,16,13,3245.831765
2010,11,16,14,3201.592313
2010,11,16,15,3156.344874
2010,11,16,16,3011.41867
2010,11,16,17,3168.552723
2010,11,16,18,2995.850863
2010,11,16,19,2708.014431
2010,11,16,20,2762.669754
2010,11,16,21,2758.189809
2010,11,16,22,2430.705869
2010,11,16,23,1992.231304
2010,11,17,0,1549.72479
2010,11,17,1,1181.80935
2010,11,17,2,821.5098165
2010,11,17,3,732.9189147
2010,11,17,4,584.4087557
2010,11,17,5,626.7442309
2010,11,17,6,822.9657985
2010,11,17,7,663.2557783
2010,11,17,8,868.8852293
2010,11,17,9,1164.001571
2010,11,17,10,1417.118433
2010,11,17,11,1375.566948
2010,11,17,12,1758.490202
2010,11,17,13,1708.426822
2010,11,17,14,1922.904164
2010,11,17,15,2044.870652
2010,11,17,16,2659.183037
2010,11,17,17,3140.55307
2010,11,17,18,3109.641453
2010,11,17,19,3106.281494
2010,11,17,20,3136.969114
2010,11,17,21,3094.409642
2010,11,17,22,2954.075381
2010,11,17,23,2771.741641
2010,11,18,0,2345.698923
2010,11,18,1,2225.860408
2010,11,18,2,1936.455996
2010,11,18,3,1176.881411
2010,11,18,4,1145.745797
2010,11,18,5,1668.891312
2010,11,18,6,1773.722013
2010,11,18,7,1973.751533
2010,11,18,8,1948.439847
2010,11,18,9,1923.576155
2010,11,18,10,1924.696141
2010,11,18,11,2112.629812
2010,11,18,12,2148.693365
2010,11,18,13,2174.789041
2010,11,18,14,2008.6951
2010,11,18,15,1479.389661
2010,11,18,16,1154.145693
2010,11,18,17,1176.769413
2010,11,18,18,914.6926615
2010,11,18,19,634.1361392
2010,11,18,20,606.4724822
2010,11,18,21,556.1851055
2010,11,18,22,493.465883
2010,11,18,23,467.1462092
2010,11,19,0,385.9472158
2010,11,19,1,363.3234962
2010,11,19,2,364.4434824
2010,11,19,3,358.6195545
2010,11,19,4,412.1548909
2010,11,19,5,376.9873269
2010,11,19,6,299.4842876
2010,11,19,7,265.5487083
2010,11,19,8,229.2611581
2010,11,19,9,149.7421438
2010,11,19,10,112.2226089
2010,11,19,11,71.45511424
2010,11,19,12,47.26341412
2010,11,19,13,90.49487822
2010,11,19,14,153.5500966
2010,11,19,15,155.5660716
2010,11,19,16,218.7332886
2010,11,19,17,326.2519558
2010,11,19,18,393.3391242
2010,11,19,19,430.298666
2010,11,19,20,396.9230797
2010,11,19,21,353.2436212
2010,11,19,22,209.2134066
2010,11,19,23,71.00711979
2010,11,20,0,34.94356684
2010,11,20,1,5.37593336
2010,11,20,2,22.95971539
2010,11,20,3,60.03125585
2010,11,20,4,139.886266
2010,11,20,5,412.2668895
2010,11,20,6,573.6568889
2010,11,20,7,558.8730722
2010,11,20,8,572.0889084
2010,11,20,9,575.7848626
2010,11,20,10,701.111309
2010,11,20,11,871.4611973
2010,11,20,12,1041.811086
2010,11,20,13,1056.930898
2010,11,20,14,1083.026575
2010,11,20,15,1009.555486
2010,11,20,16,894.9809058
2010,11,20,17,772.7904205
2010,11,20,18,567.0489708
2010,11,20,19,569.2889431
2010,11,20,20,506.3457233
2010,11,20,21,473.0821357
2010,11,20,22,450.7944119
2010,11,20,23,553.0491444
2010,11,21,0,413.3868756
2010,11,21,1,333.8678614
2010,11,21,2,341.3717683
2010,11,21,3,307.436189
2010,11,21,4,164.8619564
2010,11,21,5,50.62337247
2010,11,21,6,24.30369873
2010,11,21,7,28.44764736
2010,11,21,8,21.50373344
2010,11,21,9,17.58378203
2010,11,21,10,21.50373344
2010,11,21,11,32.14360155
2010,11,21,12,51.74335859
2010,11,21,13,59.02326835
2010,11,21,14,56.55929889
2010,11,21,15,59.47126279
2010,11,21,16,58.91126973
2010,11,21,17,35.05556545
2010,11,21,18,37.96752935
2010,11,21,19,54.20732804
2010,11,21,20,171.9178689
2010,11,21,21,474.3141204
2010,11,21,22,709.0632104
2010,11,21,23,732.6949175
2010,11,22,0,910.5487128
2010,11,22,1,1377.806921
2010,11,22,2,1688.155074
2010,11,22,3,2056.966502
2010,11,22,4,2425.665931
2010,11,22,5,2453.441587
2010,11,22,6,2658.175049
2010,11,22,7,2541.584494
2010,11,22,8,1997.719236
2010,11,22,9,1025.123293
2010,11,22,10,398.7150575
2010,11,22,11,624.2802614
2010,11,22,12,504.8897414
2010,11,22,13,1100.050364
2010,11,22,14,1705.40286
2010,11,22,15,1854.361013
2010,11,22,16,1965.12764
2010,11,22,17,1762.63415
2010,11,22,18,1935.33601
2010,11,22,19,2107.701873
2010,11,22,20,1804.969626
2010,11,22,21,1782.905899
2010,11,22,22,1397.742674
